Location,Type,Latitude,Longitude,Population_Density,Economic_Significance,Description
Dhaka,Division/Capital,23.8103,90.4125,4418,High,"Admin hub, density: ~4,418/km². Contains Dhaka & Adamjee EPZs."
Chattogram,Division/Port,22.3569,91.7832,1100,High,"Principal seaport. Density: ~1,100/km². Home to CEPZ & KEPZ."
Gazipur,Economic Zone,23.9999,90.4203,2500,Very High,"Industrial heartland. Major hub for garments and manufacturing."
Sylhet,Division,24.8949,91.8687,890,Medium,"Tea production & remittances. Density: ~890/km²."
Rajshahi,Division,24.3745,88.6042,1150,Medium,"Silk and education hub. Density: ~1,150/km²."
Khulna,Division,22.8456,89.5403,800,Medium,"Jute industry & Mongla Port gateway. Density: ~800/km²."
Mongla,Export Processing,22.4848,89.6053,N/A,High,"Strategic EPZ near the second largest seaport."
Ishwardi,Export Processing,24.1274,89.1190,N/A,High,"Major EPZ in the western region driving local economy."
Comilla,Export Processing,23.4607,91.1809,1600,High,"Dynamic EPZ hub. Division density: ~1,600/km²."
Nilphamari,Export Processing,25.8450,88.8443,1050,High,"Home to Uttara EPZ, boosting northern development."
Sundarbans,National Park,21.9497,89.1833,0,Ecological,"World's largest mangrove forest, UNESCO site."
Cox's Bazar,Tourism,21.4272,92.0058,1200,High,"World's longest beach & major blue economy potential."
